n_timesteps,Time,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,Time-Sampling,train-StdReturn,ItrTime,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-EnvExecTime
1090000,22538.8309071064,303.1985921316864,177.65944135766182,-0.0043804245,106.82160019874573,2.136866685412667,109.53199815750122,0.08888602256774902,-0.004090396,108,166.27299688877184,173.1332509802957,100,101.75396180152893,2.621196985244751,4.639857769012451
1100000,22649.477356910706,303.17791579970446,177.65417354998326,-0.007265374,107.93011808395386,2.1447994809528947,110.62553715705872,0.02114105224609375,-0.0064425133,109,167.21357354702528,173.03044622554427,100,102.79798126220703,2.673910140991211,4.69467568397522
1110000,22764.072313070297,303.14704920005295,177.35915265543113,0.006816173,112.01120400428772,1.928970021970247,114.57459616661072,0.02473616600036621,0.0064844894,110,168.39322457277564,173.02786312321118,100,106.85766077041626,2.537274122238159,4.654661655426025
1120000,22883.293000936508,302.52729715721284,178.05677367448524,0.012489238,116.42392587661743,1.9142832551986004,119.17864608764648,0.019744157791137695,0.011929665,111,168.60167475520822,172.8833420675538,100,111.29238486289978,2.730954885482788,4.703348159790039
1130000,23004.025159835815,303.1520092352558,176.65179397916526,0.016932297,118.064208984375,1.825113550401488,120.711669921875,0.019823074340820312,0.01711613,112,168.50307492955858,173.0814180790196,100,112.96490478515625,2.6250088214874268,4.680486679077148
1140000,23120.929551124573,303.40068978526153,176.62113769570038,-0.004560668,114.10404396057129,1.7523679283685505,116.88309717178345,0.02064204216003418,-0.005712174,113,168.05106002039273,173.14687087296244,100,109.00703525543213,2.7553012371063232,4.677945852279663
1150000,23236.59532213211,304.14235004347034,178.3450185232784,0.00630991,113.01134586334229,1.795207861973689,115.64119219779968,0.04917573928833008,0.0043727094,114,167.2650764240057,173.4119254874496,100,107.73324966430664,2.566394805908203,4.809343099594116
1160000,23353.68946814537,303.2444375249822,176.86688377264724,-0.0051770173,114.2279908657074,1.901748524600036,117.0693428516388,0.02024698257446289,-0.010359374,115,166.67222590376792,173.10100648397926,100,109.06973695755005,2.8193509578704834,4.725752830505371
1170000,23473.377073049545,303.31299597058137,177.33927824187188,-0.017995363,116.46028184890747,1.689266099030607,119.66710591316223,0.021074295043945312,-0.021688592,116,169.3667745020652,173.13225369143865,100,111.34462213516235,3.1843421459198,4.687151670455933
1180000,23589.680787801743,302.63042630011984,177.39064551570692,-0.01735831,113.67391800880432,2.080004189129867,116.27530980110168,0.04992103576660156,-0.01856586,117,167.64865990164995,172.92204989492546,100,108.51709961891174,2.550100803375244,4.739098787307739
1190000,23708.20259284973,302.9285438037742,177.81837397560372,-0.00917975,115.6194589138031,1.8493391865379807,118.49976515769958,0.019125938415527344,-0.010902484,118,168.9287564670977,173.03427946721868,100,110.538743019104,2.8595950603485107,4.640038728713989
1200000,23823.074130773544,304.01460071429574,177.73528224088668,0.013195191,112.17054915428162,2.142794225652435,114.84779191017151,0.021265029907226562,0.007718255,119,167.945150068943,173.4065331674378,100,107.02704572677612,2.655339002609253,4.6941258907318115
